month (MWh),PV (MWh),Wind (MWh),CSP (MWh),Other renewables (MWh),Hydraulic (MWh),Pumped hydropower (MWh),Thermal (MWh),Batteries (MWh),Cogeneration (MWh),Combined cycle (MWh),Fuel & Gas (MWh),Nuclear (MWh),No renewable residues (MWh),Renewable residues (MWh),Export (MWh),Import (MWh)
1,3.223155864882354,10.791987230776996,0.447322252079957,0.29615276972720667,2.1948433428181637,0.27986762530359743,0.0,0.07663332412797703,2.4824452709203033,3.967741103970858,0.5364930135921555,2.2778432692267794,0.23789065795361294,0.0805826659536126,-1.3095513479837921,0
2,3.565601555652495,9.372419002569584,0.9094429155653284,0.301555795895402,2.389091092268623,0.42263783743136096,0.0,0.13460372014464408,2.2532839030130085,2.7111796639251513,0.5126802603970687,2.052574360939721,0.21502677462516626,0.07301236862516636,-0.7134045840035877,0
3,4.407130354365039,15.690503647988365,0.8551002225038457,0.2714134398931073,4.4023646521679325,0.2830085285765355,0.0,0.05004248527824726,2.3374831517920107,0.4003172150667459,0.5352774867633617,2.006357320076156,0.22668892839280763,0.07720265039280774,-4.753074370514635,0
4,4.92379299808117,8.870186869021122,1.2802802647369653,0.23789612968012452,4.718400720204039,0.5051998205592315,0.0,0.15410329737376047,2.3553305819706143,0.6913249499158601,0.5074673775272616,1.704067034443585,0.17833787858975675,0.07763585558975665,-2.613051784019722,0
5,5.719763920539177,6.546231754415567,1.9152104234124836,0.2916675172397788,3.523100179571934,0.5368875653919462,0.0,0.1436193097991837,2.420135854199683,1.879590200738831,0.5347370637442586,1.6665610760406078,0.1483093788808831,0.03562690588088286,-1.7856466715791341,0
6,5.675445248330537,5.108030154159024,2.1926346560536127,0.3049941886333918,3.718032444390021,0.5701950629594968,0.0,0.16292274434980897,2.4055757001852265,2.0354412834253446,0.5574655424957998,1.605290443660391,0.1871743753308257,0.06256800133082564,-1.1771256975317108,0
7,6.226405714932917,4.8667205309716675,3.391991321860839,0.32438039273091646,3.027386611819275,0.7935866643764814,0.0,0.24605152074603615,2.4388143448562882,1.965883131137746,0.6466221740717865,1.9983597515144036,0.21321806650592875,0.07845643150592876,-0.8608488997731385,0
8,5.891151933314483,6.180073857410628,2.742746018578576,0.31753034385554035,2.1055881370566616,0.5567469998503689,0.0,0.15151334006717163,2.3635746439903347,2.377668756601544,0.6661392895575087,2.2954532637727962,0.20871300516311675,0.07980958716311667,-0.6867954975867945,0
9,5.0693732511091145,4.930099351104667,1.8595382890948682,0.3203359793280537,1.926827028798414,0.3930546751296305,0.0,0.0998569684361741,2.4103920725330883,3.766879278020818,0.6026190269382196,2.2406160016440935,0.2017348375255557,0.07745407752555576,-0.2675174326064889,0
10,4.019259469468263,8.64416931765404,1.2000377958508197,0.29773820300757486,1.4626680071022728,0.4792348247478209,0.0,0.10984969734952671,2.5220008513755783,2.6219742485809814,0.5634550961623994,2.302133905485881,0.21353323780680813,0.0785942038068081,-1.090213921510792,0
11,2.6726054008202302,9.1790203008104,0.313402477834801,0.29332062325395897,2.1620011999761877,0.2972933401841536,0.0,0.09568352207818843,2.473907648195116,4.148776725857651,0.50289124162059,1.7118416956706481,0.20255920488081755,0.0722040238808175,-0.5923942774133308,0
12,3.0024586549993133,8.720196239011093,0.43773541491934576,0.30019992434571396,2.4866640097037136,0.3686449793019858,0.0,0.1055208581381426,2.5317350345602327,3.8011241747601603,0.5240957936403722,1.9160019259765353,0.20181835007456125,0.08097038307456121,-0.5782450485519085,0
