month (%),PV (%),Wind (%),CSP (%),Other renewables (%),Hydraulic (%),Pumped hydropower (%),Thermal (%),Batteries (%),Cogeneration (%),Combined cycle (%),Fuel & Gas (%),Nuclear (%),No renewable residues (%),Renewable residues (%),Export (%),Import (%)
1,11.985129408154053,40.12941630941868,1.6633434134346088,1.1012279326719359,8.16140534217115,1.0406725107409027,0.0,0.2849568389347324,9.230837436316737,14.7538290367098,1.9949200299400442,8.470036044680114,0.8845834455694346,0.2996422512577897,-4.869495311478276,0.0
2,14.312149959771995,37.620430706269815,3.6504593079922345,1.2104301910154371,9.589694598909489,1.696447573734708,0.0,0.5402927382055145,9.044571194652448,10.882542345896022,2.0578734481943677,8.23893292585705,0.8631069388341407,0.2930680706667762,-2.8635710493399866,0.0
3,13.971866061519691,49.74339258886402,2.7109127294513033,0.8604583764414606,13.956757419969955,0.8972181300747617,0.0,0.15864901772209497,7.410491383707267,1.2691202803868478,1.696983013764767,6.360727614940825,0.718668859430654,0.24475452372636933,-15.068607721007716,0.0
4,18.790217257674204,33.85047634009576,4.885815535806496,0.9078610662940964,18.006397644245308,1.9279474970912438,0.0,0.5880902058444332,8.988430944623248,2.6382396680023072,1.9366009656854846,6.503073913000374,0.6805744037737088,0.2962745578633075,-9.971948606779007,0.0
5,22.5529925004748,25.811749875471637,7.551662431546864,1.1500431521867354,13.891561440671705,2.116944231282421,0.0,0.566290018578079,9.542580170817695,7.411212121711629,2.1084648170607263,6.571239647594402,0.5847829309247664,0.14047666167853495,-7.040793387994547,0.0
6,23.084269006180843,20.776368550991776,8.918307906768227,1.240531374662825,15.122700927342068,2.319207682115351,0.0,0.6626709083137617,9.784422921557093,8.27894060764625,2.267431713562028,6.529347886037375,0.7613118340753303,0.25448868074706904,-4.787833388737806,0.0
7,23.748703208821194,18.56260365641272,12.937704171215904,1.23724890834718,11.547032017207595,3.026891440362637,0.0,0.9384875974693339,9.302104730904402,7.498254556822025,2.4663407434957074,7.62212660337065,0.8132545182630387,0.2992478473076156,-3.2834424810000984,0.0
8,22.713567450873875,23.82751726667872,10.57476490146306,1.2242507007970225,8.11817768683633,2.146559904975712,0.0,0.5841656280941793,9.11285478784881,9.16719519208191,2.56832617055405,8.850210133300383,0.8047011814173107,0.3077089950786504,-2.6479669911717076,0.0
9,21.211848778582038,20.629083067840316,7.780891844496479,1.3403862795778583,8.062449050957989,1.6446641266236002,0.0,0.41783289748734526,10.085836967810266,15.761805188653298,2.5215471493863832,9.375440600541141,0.8441218775965407,0.32409217044675165,-1.1193769022318167,0.0
10,16.395337712908972,35.26124060591032,4.89518655878966,1.2145317876155057,5.966506049305124,1.9548916548467463,0.0,0.4480981880835382,10.287729862838866,10.695540710070937,2.2984424513564194,9.390850012918557,0.8710434281160472,0.32060097723929476,-4.4471937077625405,0.0
11,11.077924107242994,38.046952326001104,1.299050306270544,1.2158112089795698,8.961474524355156,1.23227808307881,0.0,0.3966072939800884,10.25432380201828,17.196640286980614,2.084479439860573,7.0955676368960425,0.8396059883005967,0.2992849960356192,-2.4554686766463476,0.0
12,12.266365667432666,35.62584136883164,1.7883419163976075,1.2264488768991864,10.15911742340947,1.5060770645590584,0.0,0.43109916911213597,10.343252405909714,15.529265989155485,2.1411620902262207,7.827711533812549,0.8245168259987484,0.33079966825551366,-2.3623856398854186,0.0
